city,date,email,domain,region,sectors,education,job_title,experience,company_name,specialization
المدينة المنورة,2024-11-01,hrresturant57@gmail.com,gmail.com,منطقة المدينة المنورة,['التجزئة والمبيعات المباشرة'],بكالوريوس,أخصائية جودة,يفضل وجود خبرة سابقة في مجال الجودة أو إدارة الغذاء,شركة أقوات,اخرى
جدة,2024-11-01,Job@neburgers.com,neburgers.com,منطقة مكة المكرمة,['التجزئة والمبيعات المباشرة'],غير محدد,كاشير ومحضر طعام,غير محدد,مطعم نورث ايست,اخرى
الرياض,2024-11-01,Scientistskids@gmail.com,gmail.com,منطقة الرياض,['التعليم والتطوير المهني'],مؤهل دراسي ذا صلة,مسؤولة رعاية أطفال,غير محدد,مركز أطفال علماء للترفيه,اخرى
المدينة المنورة,2024-11-01,esshco@gmail.com,gmail.com,منطقة المدينة المنورة,['القطاع الهندسي والفني'],محترف,مهندس معماري,خبرة في التصاميم والإخراج المعماري,شركة أشكو للاستشارات الهندسية,اخرى
المدينة المنورة,2024-11-01,afnanultimate1@gmail.com,gmail.com,منطقة المدينة المنورة,"['التجزئة والمبيعات المباشرة', 'الخدمات اللوجستية والأمنية']",غير محدد,محاسبة ومندوبة مبيعات وأخصائي دعم فني,غير محدد,شركة الحلول النهائية,اخرى
الرياض,2024-11-01,Hr@rodud.com,rodud.com,منطقة الرياض,['التصميم والفنون الإبداعية'],غير محدد,مصمم جرافيك و UI/UX,يفضل خبرة سابقة في تصميم الجرافيك أو UI/UX,شركة ردود للخدمات اللوجستية,اخرى
المدينة المنورة,2024-11-01,thehelperjob@gmail.com,gmail.com,منطقة المدينة المنورة,['التجزئة والمبيعات المباشرة'],ثانوي فأعلى,مدير/ة معرض,خبرة سابقة كمدير معرض أو مساعد مدير معرض,علامة تجارية كبرى,اخرى
الرياض,2024-11-01,Oceanbtelecom@gmail.com,gmail.com,منطقة الرياض,['التجزئة والمبيعات المباشرة'],غير محدد,موظفـ/ـة مبيعات (تسويق ميداني),غير محدد,شركة تسويق,اخرى
جدة,2024-11-01,hr@abbar-sa.com,abbar-sa.com,منطقة مكة المكرمة,['التجزئة والمبيعات المباشرة'],ثانوي,بائع ساعات,غير محدد,معارض كاسيو,اخرى
الرياض,2024-11-01,ad.dooorshr@gmail.com,gmail.com,منطقة الرياض,['الخدمات اللوجستية والأمنية'],غير محدد,أخصائي عمليات موارد بشرية,خبرة سابقة في المجال,شركة الأبواب المتطورة,اخرى
المدينة المنورة,2024-11-01,Al-Tarji@outlook.com,outlook.com,منطقة المدينة المنورة,['التجزئة والمبيعات المباشرة'],غير محدد,مدير تشغيل / مدير لوجستيك / مدير مستودع / مدير تقني,خبرة لا تقل عن خمس سنوات,شركة متاجر المدينة,اخرى
جدة,2024-11-01,Myjob.1@hotmail.com,hotmail.com,منطقة مكة المكرمة,['التصميم والفنون الإبداعية'],غير محدد,ادارة حسابات سوشيال ميديا مبدع/مبدعه,خبرة في تصميم الجرافيك والموشن جرافيك,مؤسسة أرض الذكريات,اخرى
جدة,2024-11-01,Shahad@mshrab.sat.me,mshrab.sat.me,منطقة مكة المكرمة,['التجزئة والمبيعات المباشرة'],غير محدد,كاشير,خبرة ستة أشهر كحد أدنى,ROW كافيه,اخرى
الرياض,2024-11-01,deemaluloom_job@hotmail.com,hotmail.com,منطقة الرياض,['التعليم والتطوير المهني'],بكالوريوس أو ماجستير,مدربة لغة انجليزية,غير محدد,معهد ديم العلوم العالي للتدريب,اخرى
المدينة المنورة,2024-11-01,info1@riyadat.sa,riyadat.sa,منطقة المدينة المنورة,['قطاع العقارات والمقاولات'],مؤهل جامعي,مسوق عقاري,سنتين فأكثر,شركة استثمارات,اخرى
المدينة المنورة,2024-11-01,job@drslounge.net,drslounge.net,منطقة المدينة المنورة,['التجزئة والمبيعات المباشرة'],غير محدد,ممثل/ة مبيعات,+1 سنوات خبرة,شركة ملابس طبية,اخرى
الرياض,2024-11-01,hr.jobs22@outlook.com,outlook.com,منطقة الرياض,['التجزئة والمبيعات المباشرة'],غير محدد,اخصائية مبيعات,خبرة لا تقل عن سنة,شركة رائدة في مجال التجزئة,اخرى
